,Open - ended,Open - ended,Close - ended,Close - ended,Total,Total, , , , , , , , , , , , , , , 
Date,Number  (1),Assets  (1),Number  (1),Assets  (1),Number  (1),Assets  (1),Domestic Shares  (2),Foreign Shares  (2),Domestic Sukuk and Bonds  (2),Foreign Bonds  (2),Domestic Money Market Instruments  (2),Foreign Money Market Instruments  (2),Other Domestic Assets  (2),Other Foreign Assets  (2),Real Estate Investments  (2),Total Assets  (2),No. of Operating Funds  (3),No. of Subscribers  (3),Domestic Assets *  (3),Foreign Assets *  (3),Total Assets of Funds *  (3)
4/1/2020 12:00:00 AM,228,154775.73,25,26808.28,253,181584.01,16356.23,3642.44,10927.92,2407.88,82948.2,33449.92,7300.19,232.55,24318.7,181584.03,253,350442,141851.24,39732.78,181584.02
7/1/2020 12:00:00 AM,230,167973,25,28098,255,196071,19012,4125,9665,3529,83384,38983,12073,644,24656,196071,255,358576,148789.96,47280.73,196070.69
10/1/2020 12:00:00 AM,228,180803,26,28921,254,209724,19351.57,4964.7,9595.23,3881.08,81505.8,50874.45,13888.77,442.23,25220.49,209724.32,254,358894,149561.86,60162.46,209724.32
1/1/2021 12:00:00 AM,225,203056.05,26,29774.89,251,232830.94,21624.85,5274.45,11706.74,5938.81,80397.28,66399.24,14714.33,910.25,25864.99,232830.94,251,382245,154308.19,78522.75,232830.94
4/1/2021 12:00:00 AM,226,212605.9,26,29033.88,252,241639.78,23220.08,5919.07,12350.81,5081.88,80818.93,74556.44,14240.93,856.2,24595.42,241639.76,252,401540,155226.19,86413.59,241639.78
7/1/2021 12:00:00 AM,226,210286.35,28,29520.13,254,239806.48,21526.3,5961.18,15859.75,4078.39,75714.81,73553.45,15243.15,848.85,27020.58,239806.46,254,446731,155364.62,84441.87,239806.49
10/1/2021 12:00:00 AM,230,197906.8,26,29267.32,256,227173.4,19938.94,6424.98,16830.29,3485.48,66235.47,68651.99,14667.46,921.74,30017.05,227173.4,256,529312,147689.21,79484.19,227173.4
1/1/2022 12:00:00 AM,227,184864.48,26,30818.64,253,215683.11,24103.08,2438.64,18627.93,3364.62,66052.58,51071.77,18312.15,723.37,30988.97,215683.11,253,508805,158084.71,57598.4,215683.11
"  (1)    Unit :Million    Currency :Riyal    Note:  As of 2006, the source of data is the Capital Market Authority (CMA).  <br />"
"  (2)    Unit :Million    Currency :Riyal    As from 2006, the source of data is the Capital Market Authority (CMA)  <br />"
"  (3)    * Million Riyals   <br>
Note:  As of 2006, the source of data is the Capital Market Authority (CMA).  <br />"
